date,portfolio_value,cash,n_positions,regime
2020-01-01,100000.0,100000.0,0,0
2020-01-02,100000.0,100000.0,0,0
2020-01-03,100000.0,100000.0,0,0
2020-01-06,100000.0,100000.0,0,0
2020-01-07,100000.0,100000.0,0,0
2020-01-08,100000.0,100000.0,0,0
2020-01-09,100000.0,100000.0,0,0
2020-01-10,100000.0,100000.0,0,0
2020-01-13,100000.0,100000.0,0,0
2020-01-14,100000.0,100000.0,0,0
2020-01-15,100000.0,100000.0,0,0
2020-01-16,100000.0,100000.0,0,0
2020-01-17,100000.0,100000.0,0,0
2020-01-20,100000.0,100000.0,0,0
2020-01-21,100000.0,100000.0,0,0
2020-01-22,100000.0,100000.0,0,0
2020-01-23,100000.0,100000.0,0,0
2020-01-24,100000.0,100000.0,0,0
2020-01-27,100000.0,100000.0,0,0
2020-01-28,100000.0,100000.0,0,0
2020-01-29,100000.0,100000.0,0,0
2020-01-30,100000.0,100000.0,0,0
2020-01-31,100000.0,100000.0,0,0
2020-02-03,100000.0,100000.0,0,0
2020-02-04,100000.0,100000.0,0,0
2020-02-05,100000.0,100000.0,0,0
2020-02-06,100000.0,100000.0,0,0
2020-02-07,100000.0,100000.0,0,0
2020-02-10,100000.0,100000.0,0,0
2020-02-11,100000.0,100000.0,0,0
2020-02-12,100000.0,100000.0,0,0
2020-02-13,100000.0,100000.0,0,0
2020-02-14,100000.0,100000.0,0,0
2020-02-17,100000.0,100000.0,0,0
2020-02-18,100000.0,100000.0,0,0
2020-02-19,100000.0,100000.0,0,0
2020-02-20,100000.0,100000.0,0,0
2020-02-21,100000.0,100000.0,0,0
2020-02-24,100000.0,100000.0,0,0
2020-02-25,100000.0,100000.0,0,0
2020-02-26,100000.0,100000.0,0,0
2020-02-27,100000.0,100000.0,0,0
2020-02-28,100000.0,100000.0,0,0
2020-03-02,100000.0,100000.0,0,0
2020-03-03,100000.0,100000.0,0,0
2020-03-04,100000.0,100000.0,0,0
2020-03-05,100000.0,100000.0,0,0
2020-03-06,100000.0,100000.0,0,0
2020-03-09,100000.0,100000.0,0,0
2020-03-10,100000.0,100000.0,0,0
2020-03-11,100000.0,100000.0,0,0
2020-03-12,100000.0,100000.0,0,0
2020-03-13,100000.0,100000.0,0,0
2020-03-16,100000.0,100000.0,0,0
2020-03-17,100000.0,100000.0,0,0
2020-03-18,100000.0,100000.0,0,0
2020-03-19,100000.0,100000.0,0,0
2020-03-20,100000.0,100000.0,0,0
2020-03-23,100000.0,100000.0,0,0
